r_xy_mm,phi_deg,z_mm,spiral,order_idx
253,258.6,349,reverse,635
243,259.0,364,forward,636
259,255.6,453,reverse,637
250,261.9,468,forward,638
244,260.4,517,reverse,639
257,257.2,532,forward,640
246,257.4,621,reverse,641
254,260.1,636,forward,642
235,262.2,685,reverse,643
243,255.4,700,forward,644
264,259.3,789,reverse,645
184,267.3,786,reverse,646
263,266.9,749,reverse,647
235,263.0,740,forward,648
241,267.8,675,forward,649
243,269.8,645,reverse,650
262,265.1,581,reverse,651
238,264.9,572,forward,652
262,269.6,508,forward,653
251,268.0,477,reverse,654
259,263.3,413,reverse,655
252,266.7,404,forward,656
236,266.2,309,reverse,657
246,263.7,300,forward,658
250,268.5,236,forward,659
258,269.2,206,reverse,660
241,264.4,142,reverse,661
247,265.5,132,forward,662
237,267.3,38,reverse,663
241,262.6,28,forward,664
261,275.0,4,forward,665
246,270.3,68,forward,666
265,272.1,102,reverse,667
243,276.8,166,reverse,668
259,273.2,172,forward,669
235,273.9,270,reverse,670
236,276.1,275,forward,671
260,271.4,340,forward,672
247,271.0,374,reverse,673
238,275.7,438,reverse,674
260,274.3,443,forward,675
255,272.8,542,reverse,676
256,277.3,547,forward,677
261,272.5,611,forward,678
242,274.6,709,reverse,679
238,275.4,715,forward,680
259,270.7,779,forward,681
245,270.3,786,forward,682
197,282.7,788,forward,683
255,279.3,774,reverse,684
249,283.1,755,forward,685
245,282.2,670,reverse,686
242,280.2,651,forward,687
238,277.5,606,reverse,688
247,284.9,587,forward,689
255,280.4,502,reverse,690
256,282.0,483,forward,691
260,283.4,398,reverse,692
244,279.1,379,forward,693
258,278.6,334,reverse,694
256,283.8,315,forward,695
249,281.6,230,reverse,696
258,280.9,211,forward,697
265,284.5,126,reverse,698
236,277.9,108,forward,699
250,279.7,62,reverse,700
249,282.7,43,forward,701
257,287.4,23,reverse,702
261,290.3,83,forward,703
260,292.1,87,reverse,704
240,285.6,147,forward,705
240,289.2,191,reverse,706
243,288.5,251,forward,707
260,286.3,294,reverse,708
252,291.5,355,forward,709
248,291.0,358,reverse,710
238,286.7,419,forward,711
250,288.1,462,reverse,712
248,289.7,523,forward,713
265,285.2,566,reverse,714
257,289.9,630,reverse,715
263,287.8,691,forward,716
262,287.0,734,reverse,717
260,290.8,794,forward,718
131,295.1,796,forward,719
205,299.8,789,reverse,720
236,299.4,758,reverse,721
256,295.5,730,forward,722
250,294.6,694,reverse,723
236,292.6,626,forward,724
257,297.6,591,reverse,725
254,297.3,562,forward,726
246,292.8,526,reverse,727
239,294.4,458,forward,728
260,295.8,423,reverse,729
239,299.1,394,forward,730
258,298.7,319,reverse,731
254,296.2,291,forward,732
245,294.0,255,reverse,733
247,293.3,187,forward,734
261,296.9,151,reverse,735
247,298.0,123,forward,736
251,299.8,47,reverse,737
261,295.1,19,forward,738
133,295.1,13,forward,739
231,302.7,5,forward,740
246,302.7,58,forward,741
239,304.5,111,reverse,742
260,305.7,162,forward,743
246,301.6,215,reverse,744
239,300.9,226,forward,745
253,306.4,279,reverse,746
240,303.9,330,forward,747
263,303.4,383,reverse,748
259,306.8,434,forward,749
238,300.5,487,reverse,750
257,302.0,498,forward,751
246,305.2,551,reverse,752
254,305.0,602,forward,753
240,302.3,655,reverse,754
242,300.2,666,forward,755
245,307.0,719,reverse,756
262,303.2,770,forward,757
240,311.8,783,reverse,758
254,307.9,706,forward,759
254,314.7,679,reverse,760
257,312.6,642,forward,761
263,310.0,615,reverse,762
262,309.7,538,forward,763
252,312.9,511,reverse,764
249,314.4,474,forward,765
260,308.2,447,reverse,766
245,311.5,370,forward,767
244,311.1,343,reverse,768
243,308.6,266,forward,769
242,314.0,240,reverse,770
243,313.3,202,forward,771
243,309.3,175,reverse,772
259,310.4,98,forward,773
250,312.2,72,reverse,774
241,307.5,8,reverse,775
177,315.1,11,forward,776
172,319.9,11,reverse,777
263,319.9,32,reverse,778
248,315.1,34,forward,779
247,316.9,136,reverse,780
259,318.1,138,forward,781
265,321.7,200,reverse,782
242,321.0,242,forward,783
249,318.7,304,reverse,784
240,316.3,306,forward,785
262,315.8,408,reverse,786
252,319.2,409,forward,787
236,320.6,472,reverse,788
243,322.1,513,forward,789
244,317.6,575,reverse,790
264,317.4,577,forward,791
250,322.4,640,reverse,792
259,320.3,681,forward,793
256,319.4,743,reverse,794
253,315.6,745,forward,795
174,315.1,794,forward,796
243,323.2,785,forward,797
236,328.0,721,forward,798
259,327.1,704,reverse,799
251,325.0,617,forward,800
264,329.8,553,forward,801
262,325.3,536,reverse,802
248,326.8,449,forward,803
249,328.2,432,reverse,804
261,323.5,368,reverse,805
254,323.9,345,forward,806
237,328.7,281,forward,807
253,326.4,264,reverse,808
260,325.7,177,forward,809
264,329.3,160,reverse,810
238,324.6,96,reverse,811
243,322.8,74,forward,812
265,327.5,9,forward,813
227,332.3,5,reverse,814
252,335.2,49,forward,815
262,332.3,57,reverse,816
255,330.5,113,forward,817
237,337.0,121,reverse,818
240,333.4,217,forward,819
261,334.1,225,reverse,820
235,336.3,321,forward,821
239,331.1,328,reverse,822
242,331.6,385,forward,823
250,335.9,392,reverse,824
238,334.5,489,forward,825
243,333.0,496,reverse,826
263,337.4,592,forward,827
252,330.0,600,reverse,828
260,332.7,657,forward,829
238,334.8,664,reverse,830
247,335.6,760,forward,831
236,331.8,768,reverse,832
224,332.3,787,reverse,833
209,335.2,788,forward,834
251,344.2,792,reverse,835
248,339.5,728,reverse,836
263,340.4,696,forward,837
243,342.4,625,reverse,838
257,337.7,560,reverse,839
241,342.2,528,forward,840
252,340.6,457,reverse,841
249,339.2,425,forward,842
250,344.0,360,forward,843
235,343.5,353,reverse,844
252,338.8,289,reverse,845
257,341.1,257,forward,846
241,341.7,185,reverse,847
253,338.1,153,forward,848
238,342.9,89,forward,849
260,344.7,81,reverse,850
254,339.9,17,reverse,851
127,339.9,7,reverse,852
151,347.6,12,forward,853
195,352.3,14,reverse,854
248,347.6,25,forward,855
252,352.3,42,reverse,856
262,350.5,128,forward,857
260,349.4,145,reverse,858
264,345.8,192,forward,859
237,346.5,249,reverse,860
238,348.7,296,forward,861
242,351.2,313,reverse,862
252,351.6,400,forward,863
240,348.3,417,reverse,864
262,346.9,464,forward,865
264,345.4,521,reverse,866
263,349.8,568,forward,867
248,350.1,585,reverse,868
252,345.1,632,forward,869
250,347.2,689,reverse,870
252,348.0,736,forward,871
243,351.9,753,reverse,872
192,352.3,787,reverse,873
245,355.7,775,forward,874
246,359.6,713,reverse,875
256,352.8,672,forward,876
251,354.8,649,reverse,877
258,357.5,608,forward,878
239,357.8,545,reverse,879
244,354.6,504,forward,880
252,353.0,481,reverse,881
256,359.3,440,forward,882
257,355.9,377,reverse,883
256,356.4,336,forward,884
252,358.9,274,reverse,885
261,353.5,232,forward,886
257,354.1,209,reverse,887
243,358.2,168,forward,888
251,357.1,106,reverse,889
244,355.3,64,forward,890
241,355.3,11,forward,891
50,0.0,800,reverse,892
242,4.7,800,reverse,893
236,0.0,2,reverse,894
245,4.7,0,reverse,895
250,0.0,0,forward,896
154,12.4,800,reverse,897
191,7.7,0,forward,898
118,20.1,800,forward,899
220,27.7,800,forward,900
223,27.7,0,forward,901
103,32.5,800,reverse,902
105,32.5,0,reverse,903
167,40.1,2,forward,904
181,44.9,0,reverse,905
248,47.8,800,forward,906
76,52.5,800,forward,907
231,57.3,800,reverse,908
234,57.3,0,reverse,909
139,64.9,0,reverse,910
138,72.6,800,forward,911
139,72.6,0,forward,912
231,80.2,800,forward,913
234,80.2,0,forward,914
76,85.0,800,reverse,915
248,89.7,800,reverse,916
179,92.6,800,forward,917
167,97.4,0,reverse,918
181,92.6,0,forward,919
103,105.0,800,forward,920
105,105.0,0,forward,921
223,109.8,1,reverse,922
118,117.4,800,reverse,923
213,112.7,800,forward,924
216,112.7,0,forward,925
154,125.1,797,forward,926
157,125.1,0,forward,927
242,132.8,800,forward,928
191,129.8,0,reverse,929
245,132.8,0,forward,930
29,137.5,800,reverse,931
238,142.2,800,reverse,932
250,137.5,1,reverse,933
264,137.5,2,forward,934
149,149.9,799,reverse,935
192,145.2,800,forward,936
151,149.9,0,reverse,937
195,145.2,1,forward,938
250,154.2,800,reverse,939
209,162.3,800,reverse,940
95,170.0,799,reverse,941
224,165.2,800,forward,942
227,165.2,2,forward,943
170,177.6,800,forward,944
174,182.4,800,reverse,945
177,182.4,1,reverse,946
86,190.0,800,forward,947
231,194.8,0,reverse,948
205,197.7,800,forward,949
133,202.4,0,reverse,950
208,197.7,0,forward,951
237,205.8,798,forward,952
197,214.8,798,reverse,953
145,210.1,3,forward,954
235,217.8,800,forward,955
184,230.2,800,forward,956
245,227.2,800,reverse,957
186,230.2,0,forward,958
248,227.2,0,reverse,959
