r_xy_mm,phi_deg,z_mm,spiral,order_idx
107,51.8,37,forward,452
108,45.5,52,reverse,453
106,47.1,70,forward,454
97,50.3,85,reverse,455
90,50.0,123,forward,456
108,47.4,138,reverse,457
97,45.3,155,forward,458
88,52.1,171,reverse,459
95,53.0,176,forward,460
102,59.8,151,reverse,461
88,57.7,143,forward,462
109,55.0,118,reverse,463
99,54.8,90,forward,464
88,57.9,65,reverse,465
108,59.5,57,forward,466
102,53.2,32,reverse,467
102,56.6,4,forward,468
93,56.1,-21,reverse,469
90,53.6,-49,forward,470
90,59.1,-74,reverse,471
92,58.4,-81,forward,472
103,54.3,-106,reverse,473
94,55.5,-134,forward,474
103,57.3,-159,reverse,475
96,60.2,-167,forward,476
106,62.0,-127,reverse,477
103,63.1,-114,forward,478
101,66.7,-94,reverse,479
101,66.0,-61,forward,480
110,63.8,-41,reverse,481
112,61.3,-28,forward,482
109,60.9,12,reverse,483
106,64.2,25,forward,484
106,65.6,45,reverse,485
101,67.2,77,forward,486
106,62.7,98,reverse,487
94,62.4,110,forward,488
99,67.4,130,reverse,489
106,65.3,163,forward,490
110,72.2,163,reverse,491
88,70.1,130,forward,492
96,74.8,98,forward,493
100,70.3,77,reverse,494
112,71.9,45,forward,495
88,73.3,25,reverse,496
109,68.5,-8,reverse,497
109,69.0,-8,forward,498
100,73.7,-41,forward,499
98,71.5,-61,reverse,500
103,70.8,-94,forward,501
102,74.4,-114,reverse,502
110,69.7,-147,reverse,503
89,67.8,-147,forward,504
96,77.3,-167,reverse,505
112,80.2,-159,forward,506
95,82.0,-134,reverse,507
111,75.5,-127,forward,508
112,79.1,-81,reverse,509
93,78.4,-74,forward,510
88,76.2,-28,reverse,511
107,81.4,-21,forward,512
101,80.9,4,reverse,513
99,76.6,12,forward,514
104,78.0,57,reverse,515
95,79.6,65,forward,516
112,75.1,110,reverse,517
101,79.8,143,reverse,518
102,77.7,151,forward,519
112,84.5,176,reverse,520
105,85.4,171,forward,521
109,87.5,123,reverse,522
93,82.5,118,forward,523
89,82.7,90,reverse,524
94,87.2,85,forward,525
95,85.7,37,reverse,526
110,84.3,32,forward,527
92,89.0,0,forward,528
108,88.6,-16,reverse,529
111,83.9,-49,reverse,530
102,86.1,-53,forward,531
106,86.8,-101,reverse,532
88,83.2,-106,forward,533
93,87.9,-139,forward,534
91,89.7,-154,reverse,535
89,97.4,-175,reverse,536
96,92.6,-172,forward,537
88,94.4,-122,reverse,538
88,95.6,-119,forward,539
109,90.8,-86,forward,540
110,91.5,-69,reverse,541
112,96.3,-36,reverse,542
93,93.8,-33,forward,543
109,93.3,17,reverse,544
106,96.7,20,forward,545
107,92.0,52,forward,546
99,90.4,70,reverse,547
88,95.1,102,reverse,548
102,94.9,105,forward,549
102,90.1,138,forward,550
97,92.2,155,reverse,551
92,104.6,168,reverse,552
100,97.8,158,forward,553
93,99.9,135,reverse,554
96,102.5,126,forward,555
103,102.8,82,reverse,556
109,99.6,73,forward,557
102,98.1,50,reverse,558
96,104.4,40,forward,559
89,101.0,-3,reverse,560
111,101.4,-13,forward,561
96,103.9,-56,reverse,562
91,98.5,-66,forward,563
94,99.2,-89,reverse,564
109,103.2,-99,forward,565
103,102.1,-142,reverse,566
102,100.3,-152,forward,567
88,109.8,-162,reverse,568
100,108.0,-131,forward,569
108,106.8,-109,reverse,570
96,110.9,-78,forward,571
95,111.6,-76,reverse,572
95,106.2,-46,forward,573
98,108.7,-24,reverse,574
111,109.1,7,forward,575
89,105.7,29,reverse,576
111,112.0,60,forward,577
110,110.5,62,reverse,578
93,107.3,93,forward,579
100,107.5,115,reverse,580
105,110.2,146,forward,581
108,112.3,148,reverse,582
103,117.9,166,forward,583
106,119.9,127,reverse,584
105,114.9,113,forward,585
93,115.2,95,reverse,586
94,119.7,80,forward,587
94,118.1,42,reverse,588
91,116.8,27,forward,589
100,113.4,9,reverse,590
104,113.8,-25,forward,591
111,116.3,-44,reverse,592
107,118.6,-58,forward,593
108,119.2,-97,reverse,594
101,115.6,-111,forward,595
108,114.5,-129,reverse,596
106,112.7,-164,forward,597
103,122.2,-150,reverse,598
89,120.4,-144,forward,599
105,126.9,-117,reverse,600
110,123.3,-91,forward,601
107,124.0,-64,reverse,602
107,126.2,-38,forward,603
88,121.1,-11,reverse,604
108,121.5,-5,forward,605
89,125.8,22,reverse,606
111,124.4,48,forward,607
100,122.9,75,reverse,608
95,127.3,101,forward,609
103,122.6,133,forward,610
97,124.7,160,reverse,611
88,130.3,153,forward,612
111,132.3,140,reverse,613
103,127.6,107,reverse,614
88,132.1,68,forward,615
88,130.5,54,reverse,616
110,129.2,15,forward,617
95,133.5,1,reverse,618
89,133.9,-18,forward,619
108,128.7,-31,reverse,620
101,131.0,-71,forward,621
91,131.6,-84,reverse,622
111,128.0,-124,forward,623
103,134.6,-137,reverse,624
110,132.8,-156,forward,625
93,129.8,-170,reverse,626
